time_with_med	participant_id	task	run	filename
48	sub-04	efs	01	func/sub-04_task-efs_run-01_bold.nii.gz
58	sub-04	rs	01	func/sub-04_task-rs_run-01_bold.nii.gz
68	sub-04	efs	02	func/sub-04_task-efs_run-02_bold.nii.gz
78	sub-04	rs	02	func/sub-04_task-rs_run-02_bold.nii.gz
88	sub-04	efs	03	func/sub-04_task-efs_run-03_bold.nii.gz
98	sub-04	rs	03	func/sub-04_task-rs_run-03_bold.nii.gz
108	sub-04	efs	04	func/sub-04_task-efs_run-04_bold.nii.gz
118	sub-04	rs	04	func/sub-04_task-rs_run-04_bold.nii.gz
128	sub-04	efs	05	func/sub-04_task-efs_run-05_bold.nii.gz
138	sub-04	rs	05	func/sub-04_task-rs_run-05_bold.nii.gz
148	sub-04	efs	06	func/sub-04_task-efs_run-06_bold.nii.gz
158	sub-04	rs	06	func/sub-04_task-rs_run-06_bold.nii.gz
168	sub-04	efs	07	func/sub-04_task-efs_run-07_bold.nii.gz
178	sub-04	rs	07	func/sub-04_task-rs_run-07_bold.nii.gz
188	sub-04	efs	08	func/sub-04_task-efs_run-08_bold.nii.gz
198	sub-04	rs	08	func/sub-04_task-rs_run-08_bold.nii.gz
208	sub-04	efs	09	func/sub-04_task-efs_run-09_bold.nii.gz
218	sub-04	rs	09	func/sub-04_task-rs_run-09_bold.nii.gz
228	sub-04	efs	10	func/sub-04_task-efs_run-10_bold.nii.gz
238	sub-04	rs	10	func/sub-04_task-rs_run-10_bold.nii.gz
248	sub-04	efs	11	func/sub-04_task-efs_run-11_bold.nii.gz
258	sub-04	rs	11	func/sub-04_task-rs_run-11_bold.nii.gz
268	sub-04	efs	12	func/sub-04_task-efs_run-12_bold.nii.gz
278	sub-04	rs	12	func/sub-04_task-rs_run-12_bold.nii.gz
288	sub-04	efs	13	func/sub-04_task-efs_run-13_bold.nii.gz
298	sub-04	rs	13	func/sub-04_task-rs_run-13_bold.nii.gz
308	sub-04	efs	14	func/sub-04_task-efs_run-14_bold.nii.gz
318	sub-04	rs	14	func/sub-04_task-rs_run-14_bold.nii.gz
328	sub-04	efs	15	func/sub-04_task-efs_run-15_bold.nii.gz
338	sub-04	rs	15	func/sub-04_task-rs_run-15_bold.nii.gz
348	sub-04	efs	16	func/sub-04_task-efs_run-16_bold.nii.gz
